#"Step","Potential Energy (kJ/mole)","Temperature (K)"
47500,-309.222800134026,306.0250100616611
47600,-317.5243073597755,297.8074309928954
47700,-318.08019964644217,298.04361848295787
47800,-310.2701125799293,307.0998216306114
47900,-307.25234790790523,297.28527763325644
48000,-288.6558782046179,299.0347594173952
48100,-318.6664054776874,308.47299648167126
48200,-298.22487708352395,316.8066141783677
48300,-300.70058518988174,303.45105170216436
48400,-306.55456433337736,304.2037700651202
48500,-314.4420691481334,310.9059378630627
48600,-291.41068397394656,304.97314162998913
48700,-317.1201481036981,294.4051103011447
48800,-324.2140946968047,295.95359958754176
48900,-326.4162018683451,310.556083594655
49000,-327.3817365865462,294.52125525274585
49100,-322.42282287637755,300.6442033611646
49200,-306.77357496458467,306.55868646427103
49300,-322.9358927873615,303.2905067070575
49400,-336.94378859181666,310.69922012968334
49500,-308.76071513873194,301.35427287263104
49600,-308.9190309797912,296.26701362216494
49700,-286.20419395084275,291.46759919499607
49800,-330.67487965804054,288.5505418832775
49900,-305.95401116166687,280.9552784283609
50000,-307.13359232606985,281.4246323649779
50100,-292.35188537219875,294.3547823219074
50200,-317.41442058413173,290.02134651860536
50300,-312.69274388289017,297.74657349264766
50400,-303.6011736361039,297.88130481447496
50500,-298.71131050985684,303.79403952835895
50600,-289.24952599133707,302.15298722434613
50700,-292.0648064976932,294.4797232726773
50800,-305.28257571888827,298.1881156687435
50900,-302.5714076546884,298.13544241712276
51000,-319.4031943239284,301.86608538208435
51100,-304.82934910873036,286.7356161717752
51200,-314.5296149897002,298.0896887182542
51300,-323.5636538481045,297.4301392267885
51400,-320.179333691078,296.3652915342403
51500,-286.4796964099242,288.13209328802327
51600,-328.2922160110713,284.58718008123617
51700,-312.07637555260493,281.89187301270937
51800,-319.2179257003216,275.26191783539133
51900,-335.2798651751873,280.71031003478487
52000,-327.70931651218683,276.9363476865591
52100,-329.1826654991255,281.12604412879307
52200,-327.0035395532514,283.0732079490597
52300,-318.8473839879741,290.7080031808619
52400,-317.5073317115059,298.8659997253037
52500,-314.9342785231369,307.7600335984347
52600,-321.268775129041,307.6841199110803
52700,-295.84671469930737,294.4022115792153
52800,-328.4910760235865,297.07692589226815
52900,-303.7866876630361,286.6968431528822
53000,-341.645001916298,288.31278135407115
53100,-320.3646258371553,286.13374070843435
53200,-322.93391118743256,286.6321053795051
53300,-318.955093636879,280.5789320824848
53400,-326.15442092901105,286.0872252606271
53500,-310.10593221574925,291.97566051104997
53600,-320.84317338619127,298.8160568574083
53700,-309.92767463299316,296.2206901966264
53800,-325.65722897566803,294.3735919431595
53900,-314.79795634703487,297.00541616208284
54000,-311.84515973647393,304.17291836935215
54100,-298.5716091879654,300.98638120502926
54200,-324.07668233596524,296.1685637534195
54300,-293.5408272415595,289.75007726437155
54400,-312.7291945756418,297.8050244741927
54500,-304.5007546769926,292.01184030164245
54600,-327.71341937478684,290.33171094953906
54700,-310.81972338215326,295.99213994660136
54800,-312.79636669197174,293.50695490621183
54900,-326.149435700477,303.69808164594286
55000,-304.1162356170808,292.62045518924236
55100,-321.5942679684184,300.14542352101864
55200,-306.5518018168645,303.0919883734623
55300,-317.8458629443814,301.03700994211994
55400,-286.22240959118574,301.6013286274996
55500,-289.25569078168127,304.0063411407939
55600,-301.19243630296006,288.8637607963829
55700,-294.2678300717048,291.91639762455014
55800,-298.3904614938495,295.2830351218848
55900,-320.7291401539157,296.16398007702514
56000,-318.56836904462733,297.19218477825376
56100,-319.90869240571215,302.539838107857
56200,-317.7227465902648,301.780765754323
56300,-326.09409051674123,299.68452078496836
56400,-292.3144189761752,302.02455599839277
56500,-343.98224839049186,304.73136738060555
56600,-312.706167029703,303.04168481354094
56700,-321.2674538678712,297.32097104573705
56800,-322.6549182149817,296.455321886929
56900,-324.3889504152203,297.706029014989
57000,-304.20198727683146,302.53754826007355
57100,-323.7422628463132,307.63153212644335
